Plant_ID,Tray,Area,Treatment,Infection,Phase,day,QY_Lss,FvFm_Lss,FC1_Size,NDVI_avg,PRI_avg,SIPI_avg,VNIR_Size,PlantHeight,NumPoints,HullVolume
PS_Tray_2508_A4,PS_Tray_2508,A4,PGPR_2,Healthy,P1,7,0.4906194733001374,0.6068332009787087,18200.0,0.7983691971898326,0.054961618950739026,0.7360234484402665,2552.69287109375,43.288098,1181.0,93301.05397700466
PS_Tray_2508_A4,PS_Tray_2508,A4,PGPR_2,Healthy,P1,8,0.5490161024136739,0.6023760699603483,23139.0,0.7982788251509536,0.06163365883591329,0.7359223759480872,3331.921142578125,55.368497,1819.0,170636.09402409077
PS_Tray_2508_A4,PS_Tray_2508,A4,PGPR_2,Healthy,P1,9,0.48180596201967324,0.5848257300432252,30422.0,0.7974364249219674,0.05303811804941945,0.7436630099331636,4709.35400390625,61.610037,2535.0,321953.6716370109
PS_Tray_2508_A4,PS_Tray_2508,A4,PGPR_2,Healthy,P2,0,0.4951392152255639,0.6002896921480456,54929.0,0.8069647850869358,0.06592849399129541,0.7524488198922467,9817.4365234375,89.59630000000001,4096.0,820691.2959265459
PS_Tray_2508_A4,PS_Tray_2508,A4,PGPR_2,Healthy,P2,1,0.5028905251627822,0.5949035952808374,65732.0,0.8062370422978186,0.06312811324963846,0.7565936931134241,11061.95703125,100.418326,4783.0,1019545.226193518
PS_Tray_2508_A4,PS_Tray_2508,A4,PGPR_2,Healthy,P2,2,0.5218480653013856,0.5565908964256903,70657.0,0.80856969450505,0.06458286858801722,0.7638625715158744,12873.87890625,120.048976,5205.0,1435528.674022069
PS_Tray_2508_A4,PS_Tray_2508,A4,PGPR_2,Healthy,P2,3,0.42087471149173955,0.48108133655247814,51450.0,0.7907319173503352,0.05087867484134993,0.7458917281315285,9366.228515625,122.062375,6509.0,1383417.074822783
PS_Tray_2508_A4,PS_Tray_2508,A4,PGPR_2,Healthy,P2,4,0.4622471110106055,0.5379619228575924,76281.0,0.8013036695171616,0.0529941645856362,0.7598937416918254,13565.134765625,130.115975,6514.0,1784979.3838728217
PS_Tray_2508_A4,PS_Tray_2508,A4,PGPR_2,Healthy,P2,5,0.4492244559008964,0.5259788204761667,80098.0,0.7998378197838312,0.0501584628300968,0.7593645888496253,13991.4736328125,147.22986500000002,7297.0,2157558.543146398
PS_Tray_2508_A4,PS_Tray_2508,A4,PGPR_2,Healthy,P2,6,,,,0.8010170220718971,0.047916024519936304,0.7641275563984786,13662.9228515625,167.363876,7775.0,2439611.779119937
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P1,0,0.43749723692198056,0.5766162769214527,1480.0,0.7454564224939315,0.06183028152850165,0.6581855851321464,151.4765625,6.0401997000000005,106.0,2068.247921416973
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P1,1,0.4742567040799465,0.6052734254911154,2033.0,0.7480270570747388,0.05546962832544332,0.6620839044682332,213.88751220703125,8.0536007,139.0,3217.431031858163
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P1,2,0.47950469029632437,0.6073153995732379,3632.0,0.7669454096438205,0.057488259951648774,0.6887434765648006,371.2151184082031,6.291875000000001,136.0,1362.864703914259
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P1,3,0.4828141055985019,0.604331220137498,5991.0,0.771969370059212,0.0542364824558721,0.7070587997460904,611.75732421875,11.325378,217.0,4413.128739814085
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P1,4,0.4989786835652702,0.6123876970077248,8641.0,0.7750368889255423,0.0568993271801193,0.713955801079975,854.8999633789062,20.134,348.0,11320.62761888084
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P1,5,0.5024553195393724,0.6009148551814594,12985.0,0.7842720463459014,0.05715430004487416,0.7311019185929317,1272.273193359375,23.337137,435.0,20628.562458858945
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P1,6,0.4937282621097596,0.5932083555546439,12188.0,0.7960619134899928,0.058565661507919455,0.7494163885647351,1739.6248779296875,28.388940000000005,656.0,41678.5204239153
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P1,7,0.49044725450228965,0.5995132266225855,17033.0,0.8060129262467259,0.05712571820648445,0.7599589637523968,2478.1142578125,35.905636,1004.0,73202.61624920646
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P1,8,0.5391869123160647,0.5891614533596666,23038.0,0.8106633509256826,0.06749535490131808,0.7624694492464574,3403.520263671875,48.573278,1605.0,137554.73510189174
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P1,9,0.48738483477923544,0.5797716422450275,35445.0,0.8124933402382323,0.05941859525989933,0.7714130835610078,5635.8818359375,53.3551,2116.0,244762.41240869573
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P2,0,0.47283325568475754,0.5551929812056154,21263.0,0.7490023054261585,0.03705450054094183,0.6919574948614061,3176.65771484375,80.787675,3721.0,345841.8468208435
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P2,1,0.37937693247375937,0.4832725327646253,12957.0,0.7231986893023805,0.028642218553376536,0.6711839994515433,1941.7413330078125,84.814478,2189.0,143838.77456726745
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P2,2,0.3705004417197058,0.4919431836710597,5558.0,0.7244870537269145,0.028696359196181347,0.6533584891539488,926.7977294921875,79.73064099999999,1285.0,66030.67471540338
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P2,3,0.35380276714678244,0.4678710662876125,5334.0,0.7086624610326224,0.019494080320241358,0.6441894015833801,1045.3062744140625,82.75073800000001,1503.0,70708.24774240686
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P2,4,0.40299974071454425,0.5355545553269319,6561.0,0.7160466039287567,0.020675583261768694,0.6438428037536638,1253.7650146484375,86.5762,1555.0,82034.19917278721
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P2,5,0.45151988683009325,0.559218580676146,7613.0,0.7237908724618126,0.029298247952120153,0.6536499324796385,1471.3043212890625,82.04604800000001,1612.0,89355.76300096422
PS_Tray_2508_B2,PS_Tray_2508,B2,Mock,Infected,P2,6,,,,0.7504519014381796,0.03811106695728628,0.6819427965815298,1738.1256103515625,85.82117699999999,1750.0,106478.28082289042
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P1,0,0.4732327907205486,0.5841144369660521,1390.0,0.7552229274482826,0.05519021089093038,0.6574509149473454,135.22372436523438,,,
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P1,1,0.48421822656660535,0.6061211815020691,1903.0,0.7544212305021841,0.05205804442124816,0.6499422335959063,191.13352966308594,,,
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P1,2,0.4863355749595304,0.6064551246418205,3359.0,0.7639450558713645,0.051559215747071514,0.6697658297813301,345.2105407714844,6.845559700000001,125.0,1581.4317474110687
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P1,3,0.4825009603839884,0.601905820064659,5674.0,0.7747954591499777,0.04920906080196942,0.7003804215958256,558.4479370117188,7.298576000000001,101.0,1565.0805542787953
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P1,4,0.4983788459683642,0.6106621334876543,8100.0,0.7812508645777686,0.05566384070431444,0.7045360828093613,800.9404907226562,17.365575,229.0,6519.454301937538
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P1,5,0.49896305190612134,0.602148566464208,12873.0,0.7966799591220295,0.05568580642531656,0.7347478174757729,1254.7200927734375,20.421629,398.0,20253.05155675548
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P1,6,0.4959213637045932,0.5943951659716489,13324.0,0.8066085066382118,0.05794665311317536,0.7459244595866257,1877.4329833984375,28.187599,549.0,29692.15191652859
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P1,7,0.4835037680596813,0.5921334897380502,18515.0,0.8171499137157713,0.056490724893932864,0.7561690527798598,2664.560546875,35.234506,1049.0,77901.04121557696
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P1,8,0.5443916148190046,0.58895781610305,22984.0,0.8225479140993317,0.06658436071535713,0.7532172785208512,3331.921142578125,48.321599,1471.0,150603.8651265475
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P1,9,0.48327268881995206,0.5776168703774593,34613.0,0.8279074751198178,0.061637813765234514,0.7652610498815481,5257.4287109375,53.606778,2317.0,269956.1661433524
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P2,0,0.5020749852847958,0.6021783454450783,55215.0,0.8193788223277201,0.06572641965421991,0.7684440357248328,9342.5400390625,80.787675,3010.0,619068.8297783562
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P2,1,0.5091559498302686,0.5999307135952627,65692.0,0.8206816009763327,0.06279895563494178,0.7775337899743967,10168.494140625,95.6365,3076.0,801816.767637954
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P2,2,0.513717304902677,0.5476347782207275,59544.0,0.8147236271781836,0.06079006941507109,0.7689812723620996,10034.73828125,100.16665,3677.0,965278.678370685
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P2,3,0.41542827604845395,0.480587358206966,42205.0,0.7986708990233674,0.046282341513984034,0.7519626573116373,6917.05126953125,107.91824,4411.0,1017564.4699607652
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P2,4,0.4582043777428475,0.5331217956156638,59245.0,0.8028808594412601,0.048554417319322224,0.7622325410264634,8799.6630859375,121.091629,4285.0,1262222.479216608
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P2,5,0.4351041744160095,0.5139327178805237,67210.0,0.8034545746573294,0.046450896432316986,0.7635552748761208,10033.033203125,135.14946600000002,4320.0,1466135.986187852
PS_Tray_2508_C4,PS_Tray_2508,C4,PGPR_3,Healthy,P2,6,,,,0.8094507775157169,0.046505624980800395,0.7717961964325515,9632.619140625,148.23658600000002,4996.0,1575016.675474431
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P1,0,0.4793277798389451,0.5973110414284498,2569.0,0.7391417714730274,0.05239155855129269,0.6802598956688579,258.09527587890625,7.7180342,103.0,1136.1026898711832
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P1,1,0.5006868882422518,0.6234655835376097,3646.0,0.7510983633369107,0.05507344512952733,0.6829027208653881,360.1631774902344,9.311975,115.0,1286.1439573045564
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P1,2,0.49207432694059766,0.6130379793286362,6174.0,0.7539233719998377,0.05509115309250282,0.688734909799701,608.5067138671875,15.603848,231.0,6343.498666944946
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P1,3,0.5000212081200067,0.610182611803055,8887.0,0.7552900970248706,0.05377324095121351,0.6974569841834508,875.053466796875,23.489667,360.0,15883.839317893751
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P1,4,0.5082034176932739,0.6102326343358824,11344.0,0.7714313176100946,0.05791351189538318,0.7105194888627512,1118.1961669921875,32.214400999999995,622.0,32746.264094258928
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P1,5,0.5057317475879496,0.6070003302211867,19045.0,0.7896007305516125,0.05712932238829288,0.7398765691156484,1796.2650146484375,32.801642,934.0,53802.55111399703
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P1,6,0.49732243846505064,0.5962717460671593,18069.0,0.7969674150502594,0.05754289777227162,0.7506164443421992,2539.72265625,38.925731,1191.0,85966.54341508933
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P1,7,0.4919563342215355,0.6035752435986378,23784.0,0.804398412994832,0.05484506927778545,0.7563562628907896,3324.418212890625,51.341702000000005,1803.0,152132.5864318626
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P1,8,0.5431567816456201,0.5925988900714309,31359.0,0.8044607851909743,0.06358555883744518,0.7571232062910604,4466.427734375,58.20884099999999,2432.0,250402.7714458237
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P1,9,0.49107628568677275,0.5824834429471554,43486.0,0.8091567052605575,0.057512950921228885,0.7691411509478014,6280.27490234375,66.44220299999999,3188.0,396067.6275920962
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P2,0,0.5051160822000439,0.5933450528962154,59267.0,0.8136752393277435,0.06983095751261928,0.7699279657775362,10912.90234375,95.63651,4786.0,903554.1056331703
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P2,1,0.5042157189731016,0.5553103816614985,69335.0,0.8166256396768788,0.06828701005392952,0.7807685441470275,11358.5341796875,107.7169,5457.0,1087644.3545973543
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P2,2,0.4949950002395095,0.49909338175416745,52190.0,0.8059523358421471,0.06593839903176826,0.7675882525460871,9765.30859375,116.022175,6206.0,1112503.324137614
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P2,3,0.3114514653399468,0.3830423808749698,41330.0,0.786747788817414,0.04839575651445395,0.750239738861974,8146.7041015625,112.031329,5552.0,974726.540046091
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P2,4,0.35780362362094514,0.42169417593755143,48584.0,0.78501659950187,0.048070314076388,0.748958396499156,8699.6337890625,123.01874,6129.0,1028640.3932070364
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P2,5,0.32747747297278496,0.3867325820990789,35936.0,0.7624803758331218,0.043665012498893735,0.7288412763211484,6431.00830078125,118.035576,5896.0,801263.4289968722
PS_Tray_2508_D2,PS_Tray_2508,D2,PGPR_1,Healthy,P2,6,,,,0.7976522421051419,0.056167662951925226,0.7604252966986935,11645.2392578125,128.85760000000002,6118.0,1145754.8141092914
PS_Tray_2509_A4,PS_Tray_2509,A4,PGPR_2,Infected,P1,0,0.49499281983166965,0.607454472616512,983.0,0.7160664231568877,0.05009628407448793,0.6245928455323625,96.86698913574219,,,
PS_Tray_2509_A4,PS_Tray_2509,A4,PGPR_2,Infected,P1,1,0.5222132797402056,0.6280970087540627,1423.0,0.7176021441452881,0.04843773888581205,0.6196207283391088,146.92576599121094,,,
PS_Tray_2509_A4,PS_Tray_2509,A4,PGPR_2,Infected,P1,2,0.5064747221466015,0.6254316976043355,2468.0,0.731362520509441,0.05196634597208267,0.6371553525318061,267.84698486328125,9.0602987,108.0,1113.802221449586
PS_Tray_2509_A4,PS_Tray_2509,A4,PGPR_2,Infected,P1,3,0.49598522299140163,0.6176258215067184,4056.0,0.7427193430843154,0.04791804234151279,0.6701823158746054,404.3709411621094,8.053599000000002,131.0,1449.869880917041
PS_Tray_2509_A4,PS_Tray_2509,A4,PGPR_2,Infected,P1,4,0.5126045519263932,0.6191102237531766,5509.0,0.7540313804166562,0.051449283436663426,0.6826765560845133,562.998779296875,16.1072,224.0,4186.6723058305815
PS_Tray_2509_A4,PS_Tray_2509,A4,PGPR_2,Infected,P1,5,0.5070872155121453,0.6160210095288317,9304.0,0.7783212384014498,0.05171838684702095,0.7164481188387237,945.2658081054688,18.192508,339.0,10081.2310775367
PS_Tray_2509_A4,PS_Tray_2509,A4,PGPR_2,Infected,P1,6,0.4995145642700133,0.6069507667128873,9781.0,0.7841416543003528,0.05048203036098955,0.7294066038976785,1345.65576171875,24.160798,576.0,25400.08937399874
PS_Tray_2509_A4,PS_Tray_2509,A4,PGPR_2,Infected,P1,7,0.49868605415896566,0.6081909741595759,14338.0,0.7916791730230096,0.053040902793333795,0.7327691246315589,1947.147705078125,33.221101,900.0,54023.8256081584
PS_Tray_2509_A4,PS_Tray_2509,A4,PGPR_2,Infected,P1,8,0.4885706147693452,0.5965556408110119,16800.0,0.7954174866407269,0.05035219736117526,0.7315025402093903,2395.16455078125,40.519675,1399.0,108046.4035116544
