word,category,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49
paper,random,-0.712159991,0.0286480002,0.148479998,-0.23793,0.250719994,0.336560011,-0.99059999,-1.18970001,-0.0242589992,-0.419259995,-0.0902020037,0.160640001,0.169359997,-0.0236980002,0.312460005,-0.0136719998,-0.805060029,-0.227960005,0.32495001,-0.781199992,1.2428,-0.272179991,0.917840004,-0.678860009,-0.106109999,-1.2105,-1.02839994,0.965939999,0.252689987,-0.494459987,2.8362,-0.928550005,-0.126369998,0.151150003,-1.12469995,0.161819994,-0.0195979998,0.821449995,0.478049994,-0.195260003,1.26880002,-0.354900002,0.155870005,0.0405640006,0.328750014,0.0911149979,-0.347849995,0.593400002,0.452670008,-0.61026001
train,random,0.949710011,0.343279988,0.845040023,-0.88519001,-0.720780015,-0.293089986,-0.746779978,0.651220024,0.472950011,-0.74010998,0.187700003,-0.382789999,-0.558990002,0.429520011,-0.269840002,-0.423830003,-0.312359989,1.34230006,-0.785669982,-0.630200028,0.918190002,0.211260006,-0.574419975,1.45490003,0.754559994,-1.61650002,-0.00850149989,0.00291340007,0.513040006,-0.47446999,2.53060007,0.859440029,-0.30667001,0.0577649996,0.662310004,0.208039999,0.642369986,-0.524600029,-0.0534159988,1.14040005,-0.137030005,-0.183610007,0.454589993,-0.509630024,-0.0255389996,-0.0286100004,0.180480003,-0.448300004,0.405250013,-0.368209988
street,random,0.104989998,0.0395760015,0.252950013,-0.997759998,0.471929997,-1.06120002,-0.975019991,-0.311340004,0.164240003,-0.227709994,-1.58319998,-0.520399988,-1.04509997,-0.464240015,-0.758639991,-0.404359996,-0.0947280005,-0.572130024,-0.752139986,-0.648620009,1.37339997,-0.202959999,-0.987129986,0.630519986,-0.40843001,-1.41550004,-0.271490008,0.637769997,0.071901001,-0.299190015,2.7974,-0.225490004,1.23000002,-0.279570013,-0.13617,-0.653379977,-0.0206330009,-0.639349997,0.129920006,-0.0647099987,-0.413599998,0.0150300004,-0.464949995,-0.363110006,0.35067001,0.534300029,-0.00940850005,-1.85899997,0.673129976,-0.00258779991
table,random,-0.366609991,1.05840003,-0.653779984,0.176740006,1.06050003,-0.725409985,-0.00972099975,0.0796900019,-0.464899987,-0.743470013,-0.641470015,-0.168369994,-0.489259988,0.566730022,0.731019974,0.183870003,0.343659997,-0.191579998,0.0660519972,-1.3434,0.508130014,-0.219980001,0.461820006,0.657959998,-0.191090003,-0.642799973,-0.149939999,0.747160017,-0.233469993,-0.165570006,2.8592999,0.605769992,-0.634649992,0.454479992,0.148560002,0.534449995,0.274419993,1.01040006,0.0795070007,-0.449149996,0.46796,-0.490009993,-0.203229994,0.654959977,0.168449998,0.506739974,0.625569999,0.0713429973,0.61897999,-0.997439981
lamp,random,-0.404689997,0.832830012,0.748549998,-0.199939996,0.717869997,-0.303519994,0.524879992,-0.723869979,0.176550001,0.640900016,0.29163,0.662959993,0.563960016,0.707210004,-0.696210027,0.648159981,-1.04369998,0.554220021,-0.402029991,-1.70050001,0.588999987,-0.391979992,-0.052889999,-1.12249994,0.266559988,-0.305379987,-0.51639998,0.93088001,0.575580001,0.271670014,0.686439991,-0.12489,-0.407070011,-0.334509999,0.296770006,0.381740004,0.730910003,-0.0159549993,0.726360023,0.636759996,0.399910003,0.317690015,-1.0467,0.265749991,-0.154090002,0.617420018,0.097916998,-1.55120003,0.337749988,-1.05079997
beach,random,0.19833,0.769810021,-0.889670014,0.978860021,-1.17340004,-1.02779996,-1.5079,-0.0199480001,0.769200027,-0.755630016,-1.07679999,-0.53144002,0.685339987,-0.127739996,0.197659999,0.106020004,0.172639996,0.110409997,-0.913749993,-0.538869977,-0.154339999,1.11749995,-0.431840003,0.642310023,-0.051128,-0.864400029,-0.219960004,0.63033998,0.139610007,-0.65793997,2.00219989,-0.578909993,-0.430449992,-0.0891190022,0.196940005,0.0669389963,0.0673609972,-0.313769996,0.615540028,-0.460150003,-0.226319999,0.415380001,0.662720025,0.575909972,-0.275260001,0.310889989,-0.134920001,-2.09820008,0.441469997,0.366270006
book,random,-0.00765429996,0.934560001,-0.731890023,-0.551620007,0.769770026,0.359250009,-1.1365,-1.16320002,0.342139989,0.291449994,-0.871100008,0.919700027,-0.470690012,-0.22834,1.4777,-0.817139983,-0.174659997,-0.510930002,-0.28354001,0.232920006,0.718320012,0.234139994,0.494430006,0.354829997,0.768890023,-1.43739998,-1.7457,-0.28994,-0.101559997,-0.369590014,2.55019999,-1.05809999,-0.0494159982,-0.255239993,-0.633029997,0.0267099999,-0.187329993,0.202059999,-0.262879997,-0.414180011,0.834730029,-0.142269999,-0.28125,0.0981549993,-0.170959994,0.524079978,0.318509996,-0.0898469985,-0.272229999,-0.00887359958
spoon,random,-1.23839998,-0.126139998,-0.668540001,-0.216100007,0.68096,0.697130024,0.100479998,0.726800025,-0.232240006,-0.258370012,-0.0629869998,0.500419974,1.19089997,1.24000001,-0.138630003,-0.177980006,0.575670004,-0.13369,0.00704730023,-1.19060004,0.850809991,-0.901260018,1.72130001,0.516950011,0.0260439999,-0.0273020007,0.473589987,1.19229996,0.882200003,-0.797209978,1.32799995,-0.0443000011,-0.460480005,1.04999995,-0.715719998,0.846989989,-0.71845001,1.09109998,1.38469994,-0.642130017,0.888040006,0.149580002,-0.632619977,0.0265989993,-0.114229999,0.509649992,0.786660016,-0.560069978,0.130030006,-0.814090014
door,random,0.42414999,0.366510004,0.417549998,-0.365530014,0.764209986,-0.20803,-0.479490012,0.062353,0.0798320025,-0.58326,-0.817089975,-0.123190001,-0.780830026,1.12619996,0.267729998,0.55588001,-0.479660004,0.0611010008,0.67106998,-1.32720006,0.622690022,0.48495999,-0.700519979,0.394739985,-0.0134079996,-1.58940005,0.172069997,1.18369997,0.390399992,-0.823889971,2.43650007,-0.0977519974,-0.685980022,0.100249998,0.146479994,0.39399001,0.677250028,-0.209720001,0.153559998,-0.372850001,0.0209970009,0.0029064999,-0.351280004,0.218569994,0.337989986,0.0340900011,0.458539993,-1.00300002,0.213609993,-0.610769987
ship,random,1.52129996,0.105219997,0.38161999,-0.50801003,0.0324230008,-0.134839997,-1.24740005,0.798129976,0.84691,-1.10099995,0.887430012,1.37489998,0.429280013,0.657169998,-0.263599992,-0.417589992,-0.488460004,0.91061002,-1.71580005,-0.437999994,0.783949971,0.196360007,-0.406569988,-0.539709985,0.824419975,-1.74339998,0.142849997,0.280369997,1.1688,0.168970004,2.2270999,-0.582729995,-0.457230002,0.628139973,0.54440999,0.284619987,0.444849998,-0.553430021,-0.364930004,-0.0164250005,0.408760011,-0.871479988,1.55130005,-0.807039976,-0.100359999,-0.284610003,-0.332159996,-0.506089985,0.482719988,-0.661979973
house,random,0.601369977,0.285210013,-0.0320379995,-0.430260003,0.748059988,0.262230009,-0.973609984,0.0785809979,-0.575879991,-1.18799996,-1.85070002,-0.24887,0.0555489995,0.00861550029,0.0679510012,0.405539989,-0.0739979967,-0.213180006,0.371670008,-0.717909992,1.2234,0.355459988,-0.415369987,-0.219310001,-0.396609992,-1.78310001,-0.415069997,0.295329988,-0.412539989,0.0200960003,2.74250007,-0.992600024,-0.710330009,-0.468129992,0.282649994,-0.0776389986,0.304100007,-0.0664400011,0.395099998,-0.70747,-0.388940006,0.231580004,-0.495079994,0.146119997,-0.0231400002,0.56388998,-0.861880004,-1.02779996,0.039921999,0.200179994
tower,random,1.14740002,1.18110001,0.74555999,-0.0591010004,0.504989982,-0.704490006,-0.321359992,-0.453900009,-0.457630008,-0.753409982,-0.335110009,-0.0249749999,-0.501919985,0.637730002,-0.83059001,0.835650027,-0.247009993,0.324209988,-1.11029994,-0.0213350002,0.687170029,-0.393400013,-1.63900006,-0.504930019,-0.166840002,-0.676490009,-0.317979991,0.885029972,-0.0315520018,-0.156079993,1.98049998,-1.18700004,0.833419979,-0.183689997,-0.266909987,0.116190001,1.10230005,-0.359369993,0.0250150003,-0.0406149998,0.306809992,-0.410759985,0.0845860019,0.224749997,-0.509549975,0.658190012,-0.12432,-1.40390003,0.000161780001,-0.525290012
radio,random,-0.183650002,0.318190008,0.698700011,0.424279988,-1.05830002,-0.443289995,-1.40989995,0.0333469994,-0.439229995,0.373019993,0.676060021,-0.326079994,0.312020004,0.623650014,-0.330650002,0.128879994,-0.585070014,0.926259995,-0.882589996,0.337740004,0.683640003,1.13320005,0.500469983,1.19459999,0.300509989,-1.11960006,-0.459800005,0.107359998,-0.0982500017,0.00723400014,3.10820007,-0.117360003,-0.19675,-0.662530005,-0.814230025,-0.0404689983,0.827759981,-1.07579994,-0.526350021,0.361690015,1.68130004,0.756299973,-1.07650006,-0.724539995,-0.646409988,0.0339859985,-1.04560006,0.603789985,-0.348619998,0.726800025
wallet,random,0.00696380017,-0.363499999,1.41729999,-0.010338,1.36230004,0.0745470002,-0.323390007,-0.0526759997,1.03659999,-0.0084784003,0.0253519993,0.210649997,-0.00497569982,0.17588,0.679109991,0.309549987,-1.23000002,-0.315429986,0.854789972,-0.369700015,0.117059998,-0.0357349999,-0.182789996,0.0428470001,-0.0826380029,-1.07480001,-0.773810029,0.549290001,1.17270005,-1.22490001,0.369910002,0.506410003,0.220689997,0.822660029,0.023852,0.97913003,0.0666130036,0.355619997,0.431400001,-0.880460024,1.1286,0.578440011,-0.0664549991,0.586319983,-0.283100009,-0.798569977,0.34097001,-0.668969989,0.758679986,-0.381209999
